contestant_name,profession,state,finish,normalized_finish,gender,age,num_season,birthdate,employment_category,region
Sonja Christopher,Musician/Retired Teacher,California,16,0.0,F,63,1,1937-01-28,Education,West
B.B. Andersen,Real Estate Developer,Kansas,15,0.0625,M,64,1,1936-01-18,Business,Midwest
Stacey Stillman,Attorney,California,14,0.125,F,27,1,1972-08-11,Law,West
Ramona Gray,Biochemist,New Jersey,13,0.1875,F,29,1,1971-01-20,Other,East Coast
Dirk Been,Dairy Farmer,Wisconsin,12,0.25,M,23,1,1976-06-15,Agriculture,Midwest
Joel Klug,Health Club Consultant,Arkansas,11,0.3125,M,27,1,1972-04-13,Healthcare,South
Gretchen Cordy,Teacher,Tennessee,10,0.375,F,38,1,1962-02-07,Education,South
Greg Buis,Ivy League Graduate,Colorado,9,0.4375,M,24,1,1975-12-31,Other,West
Jenna Lewis,Student,New Hampshire,8,0.5,F,22,1,1977-07-16,Student,East Coast
Gervase Peterson,YMCA Basketball Coach,New Jersey,7,0.5625,M,30,1,1969-11-02,Education,East Coast
Colleen Haskell,Student,Florida,6,0.625,F,23,1,1976-12-06,Student,East Coast
Sean Kenniff,Neurologist,New York,5,0.6875,M,30,1,1969-11-27,Other,East Coast
Susan Hawk,Truck Driver,Wisconsin,4,0.75,F,38,1,1961-08-17,Other,Midwest
Rudy Boesch,Retired NAVY Seal,Virginia,3,0.8125,M,72,1,1928-01-20,Retired,East Coast
Kelly Wiglesworth,River Rafting Guide,California,2,0.875,F,22,1,1977-06-24,Other,West
Richard Hatch,Corporate Trainer,Rhode Island,1,0.9375,M,39,1,1961-04-08,Other,East Coast
Debb Eaton,Corrections Officer,New Hampshire,16,0.0,F,45,2,1955-06-11,Other,East Coast
Kel Gleason,Army Intelligence Officer,Texas,15,0.0625,M,32,2,1968-01-05,Other,South
Maralyn Hershey,Retired Police Officer,Virginia,14,0.125,F,51,2,1949-01-24,Retired,East Coast
Mitchell Olson,Singer/Songwriter,New Jersey,13,0.1875,M,23,2,1977-03-17,Other,East Coast
Kimmi Kappenberg,Bartender,New York,12,0.25,F,28,2,1972-11-11,Hospitality,East Coast
Michael Skupin,Software Publisher,Michigan,11,0.3125,M,38,2,1962-01-29,Other,Midwest
Jeff Varner,Internet Projects Manager,New York,10,0.375,M,34,2,1966-04-16,Other,East Coast
Alicia Calaway,Personal Trainer,New York,9,0.4375,F,32,2,1968-05-01,Other,East Coast
Jerri Manthey,Aspiring Actress,California,8,0.5,F,30,2,1970-09-05,Other,West
Nick Brown,Law Student,Washington,7,0.5625,M,23,2,1977-04-02,Student,West
Amber Mariano,Administrative Assistant,Pennsylvania,6,0.625,F,22,2,1978-08-11,Other,East Coast
Rodger Bingham,Teacher/Farmer,Kentucky,5,0.6875,M,53,2,1947-07-05,Education,South
Elisabeth Filarski,Footwear Designer,Massachusetts,4,0.75,F,23,2,1977-05-28,Other,East Coast
Keith Famie,Chef,Michigan,3,0.8125,M,40,2,1960-02-11,Hospitality,Midwest
Colby Donaldson,Auto Customizer,Texas,2,0.875,M,26,2,1974-04-01,Other,South
Tina Wesson,Personal Nurse,Tennessee,1,0.9375,F,39,2,1960-12-26,Healthcare,South
Diane Ogden,Mail Carrier,Nebraska,16,0.0,F,42,3,1959-04-27,Other,Midwest
Jessie Camacho,Sheriff,Florida,15,0.0625,F,27,3,1974-09-24,Other,East Coast
Carl Bilancione,Dentist,Florida,14,0.125,M,46,3,1955-06-20,Other,East Coast
Linda Spencer,Career Counselor,Massachusetts,13,0.1875,F,44,3,1957-01-01,Other,East Coast
Silas Gaither,Bartender,California,12,0.25,M,23,3,1978-01-28,Hospitality,West
Lindsey Richter,Advertising Executive,Oregon,11,0.3125,F,27,3,1974-08-31,Other,West
Clarence Black,Basketball Coach,Michigan,10,0.375,M,24,3,1976-12-21,Education,Midwest
Kelly Goldsmith,Behavior Analyst,California,9,0.4375,F,22,3,1979-04-27,Other,West
Brandon Quinton,Bartender,Texas,8,0.5,M,25,3,1976-01-22,Hospitality,South
Frank Garrison,Telephone Technician,New York,7,0.5625,M,43,3,1958-07-22,Engineering/Technical,East Coast
Kim Powers,Freelance Marketer,Pennsylvania,6,0.625,F,29,3,1971-12-03,Other,East Coast
Teresa Cooper,Flight Attendant,Georgia,5,0.6875,F,42,3,1959-05-05,Other,East Coast
Tom Buchanan,Goat Farmer,Virginia,4,0.75,M,46,3,1955-10-30,Agriculture,East Coast
Lex van den Berghe,Marketing Manager,California,3,0.8125,M,38,3,1963-06-18,Other,West
Kim Johnson,Retired Teacher,New York,2,0.875,F,57,3,1944-09-18,Education,East Coast
